accession,rung,arm,gain
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
O95835,mammal,control,0
P04150,mammal,control,0
P04150,mammal,control,0
P04150,mammal,control,0
P04150,mammal,control,0
P05783,mammal,region,0
P05783,mammal,region,0
P05783,mammal,region,0
P05783,mammal,region,0
P05783,mammal,region,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,1
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05783,mammal,control,0
P05787,mammal,region,0
P05787,mammal,region,0
P05787,mammal,control,0
P05787,mammal,control,0
P05787,mammal,control,0
P05787,mammal,region,0
P05787,mammal,region,1
P05787,mammal,region,1
P05787,mammal,control,0
P06401,mammal,region,0
P06401,mammal,region,0
P06401,mammal,region,0
P06401,mammal,region,0
P06401,mammal,region,0
P06401,mammal,region,0
P06401,mammal,control,0
P06401,mammal,control,0
P07196,mammal,region,0
P07196,mammal,region,0
P07196,mammal,region,0
P07196,mammal,region,0
P08651,mammal,control,0
P10070,mammal,region,0
P10070,mammal,region,0
P10070,mammal,control,0
P10070,mammal,control,0
P10070,mammal,control,0
P10070,mammal,control,0
P10070,mammal,control,0
P10070,mammal,control,0
P11279,mammal,region,0
P11279,mammal,region,0
P11279,mammal,region,1
P11279,mammal,region,0
P11279,mammal,region,0
P11279,mammal,region,1
P11279,mammal,control,1
P11279,mammal,control,0
P11279,mammal,control,0
P11279,mammal,control,0
P11279,mammal,control,1
P11279,mammal,region,0
P11279,mammal,region,0
P13796,mammal,control,0
P13796,mammal,control,0
P13796,mammal,control,0
P13796,mammal,control,0
P14859,mammal,region,0
P14859,mammal,region,0
P14859,mammal,region,0
P14859,mammal,control,0
P14859,mammal,control,0
P15336,mammal,control,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,region,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P15822,mammal,control,0
P17275,mammal,region,0
P17275,mammal,control,0
P18583,mammal,region,0
P18583,mammal,region,0
P18583,mammal,region,0
P18583,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,control,0
P22681,mammal,control,0
P22681,mammal,control,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,region,0
P22681,mammal,control,0
P22681,mammal,control,0
P23246,mammal,control,0
P23246,mammal,control,0
P23246,mammal,control,0
P23246,mammal,control,0
P27540,mammal,region,0
P27540,mammal,region,0
P27540,mammal,region,0
P27540,mammal,region,0
P27540,mammal,region,0
P27540,mammal,region,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P27540,mammal,control,0
P30622,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,control,0
P31629,mammal,control,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,control,0
P31629,mammal,control,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,0
P31629,mammal,region,1
P31629,mammal,region,0
P31629,mammal,region,1
P31629,mammal,region,0
P32519,mammal,control,0
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,region,1
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,region,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35613,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,1
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,1
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,1
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,control,0
P35658,mammal,region,0
P35658,mammal,region,0
P37198,mammal,region,0
P37198,mammal,region,0
P37198,mammal,region,0
P37198,mammal,region,0
P37198,mammal,region,0
P37198,mammal,region,0
P37198,mammal,control,0
P37198,mammal,control,0
P39880,mammal,region,0
P39880,mammal,region,0
P39880,mammal,region,0
P39880,mammal,region,0
P39880,mammal,region,0
P39880,mammal,region,0
P39880,mammal,control,0
P40425,mammal,region,0
P40425,mammal,region,0
P43155,mammal,region,0
P43155,mammal,region,0
P43155,mammal,region,0
P43155,mammal,region,0
P46013,mammal,region,0
P46013,mammal,region,0
P46013,mammal,region,0
P46013,mammal,region,0
P46013,mammal,region,0
P46013,mammal,region,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46013,mammal,control,0
P46100,mammal,region,0
P46100,mammal,region,0
P46100,mammal,region,0
P46100,mammal,region,0
P46100,mammal,region,0
P46100,mammal,region,0
P46100,mammal,region,0
P48634,mammal,region,0
P48634,mammal,region,0
P48634,mammal,control,0
P48634,mammal,control,0
P49321,mammal,region,0
P49321,mammal,region,0
P49321,mammal,control,0
P49321,mammal,control,0
P49321,mammal,control,0
P49321,mammal,control,0
P49750,mammal,control,0
P49750,mammal,region,0
P49750,mammal,region,0
P49750,mammal,region,0
P49750,mammal,region,0
P49750,mammal,region,0
P49750,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,1
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,1
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,region,0
P49790,mammal,region,0
P49790,mammal,control,0
P49790,mammal,control,0
P49790,mammal,control,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,1
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,1
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,1
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,region,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,1
P49848,mammal,control,0
P49848,mammal,control,1
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,1
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49848,mammal,control,0
P49916,mammal,region,0
P49916,mammal,region,0
P50402,mammal,region,0
P50402,mammal,region,0
P50402,mammal,control,0
P50402,mammal,control,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,control,0
P51610,mammal,control,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,control,0
P51610,mammal,control,0
P51610,mammal,control,0
P51610,mammal,control,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,control,0
P51610,mammal,control,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,1
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,1
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51610,mammal,region,0
P51826,mammal,region,0
P51826,mammal,region,0
P51826,mammal,region,0
P51826,mammal,region,0
P52594,mammal,region,0
P52594,mammal,control,0
P52594,mammal,control,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,control,0
P52948,mammal,control,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,region,0
P52948,mammal,control,0
P52948,mammal,control,0
P52948,mammal,region,0
P52948,mammal,region,0
P53992,mammal,control,0
P54253,mammal,region,0
P54253,mammal,region,0
P54253,mammal,control,0
P54253,mammal,control,0
P54253,mammal,control,0
P54253,mammal,control,0
P55197,mammal,control,0
P55197,mammal,control,0
P55198,mammal,region,0
P55198,mammal,region,0
P55198,mammal,region,0
P55198,mammal,control,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,region,0
P55265,mammal,control,0
P55265,mammal,control,0
P55265,mammal,control,0
P55265,mammal,control,0
P55265,mammal,control,0
P61769,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,region,0
P98082,mammal,control,0
P98171,mammal,region,0
P98171,mammal,region,0
P98171,mammal,region,0
P98171,mammal,region,0
P98171,mammal,region,0
P98171,mammal,region,0
P98171,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,1
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,1
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,1
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,1
Q02505,mammal,region,0
Q02505,mammal,region,1
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,0
Q02505,mammal,region,1
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q02505,mammal,control,0
Q03164,mammal,region,0
Q03164,mammal,region,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,region,0
Q03164,mammal,region,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q03164,mammal,control,0
Q04637,mammal,control,0
Q04637,mammal,control,0
Q04637,mammal,control,0
Q04637,mammal,control,0
Q04637,mammal,region,0
Q04637,mammal,region,0
Q04637,mammal,control,0
Q04637,mammal,control,0
Q05209,mammal,region,0
Q05209,mammal,control,0
Q05209,mammal,control,0
Q05209,mammal,control,0
Q09666,mammal,region,0
Q09666,mammal,region,0
Q09666,mammal,region,0
Q09666,mammal,region,0
Q09666,mammal,region,0
Q09666,mammal,region,0
Q09666,mammal,control,0
Q09666,mammal,control,0
Q12778,mammal,control,0
Q12778,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,control,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,region,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q12830,mammal,control,0
Q13243,mammal,control,0
Q13243,mammal,control,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13492,mammal,region,0
Q13495,mammal,region,0
Q13495,mammal,region,0
Q13495,mammal,region,0
Q13495,mammal,control,0
Q13495,mammal,control,0
Q13576,mammal,region,0
Q13576,mammal,region,0
Q13576,mammal,region,0
Q13576,mammal,control,0
Q13576,mammal,control,0
Q13576,mammal,control,0
Q14157,mammal,control,0
Q14157,mammal,control,0
Q14157,mammal,control,0
Q14157,mammal,region,0
Q14157,mammal,region,0
Q14157,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,region,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14676,mammal,control,0
Q14677,mammal,region,0
Q14686,mammal,control,0
Q14686,mammal,control,0
Q14686,mammal,region,0
Q14686,mammal,control,0
Q14814,mammal,region,0
Q14814,mammal,region,0
Q14814,mammal,region,0
Q14814,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,region,0
Q14966,mammal,control,0
Q14966,mammal,control,0
Q14966,mammal,control,0
Q14980,mammal,region,0
Q14980,mammal,region,0
Q14980,mammal,control,1
Q14980,mammal,control,0
Q14980,mammal,control,1
Q14980,mammal,control,0
Q14980,mammal,control,0
Q14980,mammal,control,0
Q14980,mammal,control,0
Q15058,mammal,region,0
Q15058,mammal,region,0
Q15058,mammal,region,0
Q15058,mammal,region,0
Q15058,mammal,control,0
Q15058,mammal,control,0
Q15058,mammal,control,0
Q15058,mammal,control,0
Q15058,mammal,control,0
Q15058,mammal,control,0
Q15154,mammal,region,0
Q15154,mammal,region,0
Q15154,mammal,region,0
Q15154,mammal,region,0
Q15648,mammal,control,0
Q15648,mammal,region,0
Q15648,mammal,region,0
Q15652,mammal,region,0
Q15652,mammal,control,0
Q15652,mammal,control,0
Q15652,mammal,region,0
Q15652,mammal,control,0
Q15652,mammal,control,0
Q15652,mammal,region,0
