accession,radius,n_sites,n_exposure_strata,n_variable_sites,n_mapped_peptide_sites,n_tryptic_fallback_sites,observed_close_pairs,possible_pairs,observed_close_pair_fraction,null_mean_close_pair_fraction,null_sd_close_pair_fraction,effect,fold,p_value,simulation_draws
O00268,20,21,12,9,19,2,40,210,0.1904761904761904,0.1881166666666666,0.0128161618052731,0.0023595238095238,1.0125428748623575,0.4572713643178411,2000
O00268,25,21,12,9,19,2,48,210,0.2285714285714285,0.229447619047619,0.0179664979424986,-0.0008761904761905,0.9961813049975096,0.543728135932034,2000
O00268,30,21,12,9,19,2,54,210,0.2571428571428571,0.2649214285714286,0.0174995498582259,-0.0077785714285714,0.970638194612958,0.7051474262868566,2000
O00268,5,21,12,9,19,2,16,210,0.0761904761904762,0.0702761904761904,0.0060781953426876,0.0059142857142857,1.0841577449518909,0.2758620689655172,2000
O00443,10,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00443,15,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00443,20,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00443,25,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00443,30,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00443,5,3,3,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00469,10,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00469,15,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00469,20,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00469,25,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00469,30,3,3,2,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00469,5,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00566,10,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00566,15,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00566,20,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00566,25,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00566,30,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00566,5,3,1,0,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
O00571,10,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00571,15,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00571,20,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00571,25,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00571,30,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00571,5,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00592,10,3,3,2,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00592,15,3,3,2,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00592,20,3,3,2,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00592,25,3,3,2,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00592,30,3,3,2,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00592,5,3,3,2,3,0,1,3,0.3333333333333333,0.2533333333333333,0.1423966469731688,0.08,1.3157894736842106,0.760119940029985,2000
O00712,10,6,2,6,6,0,6,15,0.4,0.4601666666666667,0.0197807728064336,-0.0601666666666667,0.8692502716407098,1.0,2000
O00712,15,6,2,6,6,0,7,15,0.4666666666666667,0.4666666666666667,5.552503422540543e-17,0.0,1.0,1.0,2000
O00712,20,6,2,6,6,0,7,15,0.4666666666666667,0.4666666666666667,5.552503422540543e-17,0.0,1.0,1.0,2000
O00712,25,6,2,6,6,0,7,15,0.4666666666666667,0.4666666666666667,5.552503422540543e-17,0.0,1.0,1.0,2000
O00712,30,6,2,6,6,0,7,15,0.4666666666666667,0.4666666666666667,5.552503422540543e-17,0.0,1.0,1.0,2000
O00712,5,6,2,6,6,0,4,15,0.2666666666666666,0.2806,0.062316606594924,-0.0139333333333333,0.9503444998812068,0.7971014492753623,2000
O14497,10,21,9,19,13,8,36,210,0.1714285714285714,0.1831119047619047,0.0133883136378386,-0.0116833333333333,0.9361956648939628,0.879560219890055,2000
O14497,15,21,9,19,13,8,44,210,0.2095238095238095,0.2168642857142857,0.0092252664079957,-0.0073404761904762,0.9661517516989996,0.8500749625187406,2000
O14497,20,21,9,19,13,8,52,210,0.2476190476190476,0.249747619047619,0.0080455313002766,-0.0021285714285714,0.9914771102255612,0.6841579210394803,2000
O14497,25,21,9,19,13,8,58,210,0.2761904761904762,0.2890309523809523,0.0094309147213903,-0.012840476190476,0.9555740446318984,0.9560219890054972,2000
O14497,30,21,9,19,13,8,61,210,0.2904761904761905,0.3090595238095237,0.0142296188172219,-0.0185833333333332,0.9398713454797584,0.8875562218890555,2000
O14497,5,21,9,19,13,8,19,210,0.0904761904761904,0.1063119047619047,0.0132526662368816,-0.0158357142857143,0.8510447694340552,0.9420289855072465,2000
O14519,10,6,2,4,5,1,14,15,0.9333333333333332,0.9478000000000002,0.0491339480420908,-0.0144666666666668,0.984736582964057,0.8135932033983009,2000
O14519,15,6,2,4,5,1,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14519,20,6,2,4,5,1,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14519,25,6,2,4,5,1,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14519,30,6,2,4,5,1,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14519,5,6,2,4,5,1,9,15,0.6,0.6375666666666666,0.0993552165860694,-0.0375666666666666,0.9410780571966332,0.743128435782109,2000
O14639,10,9,7,4,9,0,9,36,0.25,0.2595,0.0131805065063817,-0.0095,0.9633911368015414,1.0,2000
O14639,15,9,7,4,9,0,13,36,0.3611111111111111,0.3523055555555554,0.0129284387709673,0.0088055555555556,1.0249940865725775,0.6831584207896052,2000
O14639,20,9,7,4,9,0,15,36,0.4166666666666667,0.4261666666666667,0.0131805065063817,-0.0095,0.9777082518576456,1.0,2000
O14639,25,9,7,4,9,0,16,36,0.4444444444444444,0.4444444444444446,1.6657510267621627e-16,0.0,0.9999999999999996,1.0,2000
O14639,30,9,7,4,9,0,16,36,0.4444444444444444,0.4444444444444446,1.6657510267621627e-16,0.0,0.9999999999999996,1.0,2000
O14639,5,9,7,4,9,0,4,36,0.1111111111111111,0.1301388888888889,0.0129064458208842,-0.0190277777777777,0.8537886872998932,1.0,2000
O14686,10,6,5,5,6,0,2,15,0.1333333333333333,0.1333333333333333,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O14686,15,6,5,5,6,0,2,15,0.1333333333333333,0.1333333333333333,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O14686,20,6,5,5,6,0,2,15,0.1333333333333333,0.1333333333333333,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O14686,25,6,5,5,6,0,2,15,0.1333333333333333,0.1333333333333333,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O14686,30,6,5,5,6,0,2,15,0.1333333333333333,0.1333333333333333,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O14686,5,6,5,5,6,0,2,15,0.1333333333333333,0.1106999999999999,0.0315772017592848,0.0226333333333333,1.2044564890093346,0.6606696651674163,2000
O14715,10,3,2,3,3,0,0,3,0.0,0.1316666666666666,0.1629909838248173,-0.1316666666666666,0.0,1.0,2000
O14715,15,3,2,3,3,0,0,3,0.0,0.1546666666666666,0.1662756794560378,-0.1546666666666666,0.0,1.0,2000
O14715,20,3,2,3,3,0,1,3,0.3333333333333333,0.1961666666666666,0.1640761660690355,0.1371666666666666,1.699235344095157,0.5887056471764118,2000
O14715,25,3,2,3,3,0,1,3,0.3333333333333333,0.2455,0.14688046251448,0.0878333333333333,1.357773251866938,0.736631684157921,2000
O14715,30,3,2,3,3,0,1,3,0.3333333333333333,0.3704999999999999,0.1329775769159058,-0.0371666666666666,0.899685110211426,0.970014992503748,2000
O14715,5,3,2,3,3,0,0,3,0.0,0.0645,0.1317134169783247,-0.0645,0.0,1.0,2000
O14795,10,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14795,15,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14795,20,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14795,25,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14795,30,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14795,5,3,2,0,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O14964,10,7,1,7,6,1,18,21,0.8571428571428571,0.7515,0.073816577690812,0.1056428571428571,1.140575990875392,0.1419290354822588,2000
O14964,15,7,1,7,6,1,21,21,1.0,0.9168809523809526,0.0454552517906842,0.0831190476190474,1.0906541328001245,0.0889555222388805,2000
O14964,20,7,1,7,6,1,21,21,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14964,25,7,1,7,6,1,21,21,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14964,30,7,1,7,6,1,21,21,1.0,1.0,0.0,0.0,1.0,1.0,2000
O14964,5,7,1,7,6,1,10,21,0.4761904761904761,0.3899285714285714,0.0578861695421866,0.0862619047619047,1.2212248885632289,0.1704147926036981,2000
O14974,10,46,24,22,42,4,151,1035,0.1458937198067632,0.1409753623188405,0.004216462333962,0.0049183574879227,1.0348880641767673,0.1564217891054472,2000
O14974,15,46,24,22,42,4,193,1035,0.1864734299516908,0.1790526570048309,0.0043822262955035,0.0074207729468599,1.0414446402024613,0.063968015992004,2000
O14974,20,46,24,22,42,4,227,1035,0.2193236714975845,0.2096980676328502,0.0030515316026287,0.0096256038647343,1.0459022058400047,0.0019990004997501,2000
O14974,25,46,24,22,42,4,248,1035,0.2396135265700483,0.2333217391304348,0.0021064646943763,0.0062917874396135,1.0269661432452128,0.000999500249875,2000
O14974,30,46,24,22,42,4,258,1035,0.2492753623188406,0.2495628019323671,0.0010765967095204,-0.0002874396135265,0.9988482273347594,0.7476261869065467,2000
O14974,5,46,24,22,42,4,87,1035,0.0840579710144927,0.0811207729468599,0.0026597595021279,0.0029371980676328,1.0362077179609337,0.1794102948525737,2000
O15014,10,9,6,3,6,3,13,36,0.3611111111111111,0.361111111111111,1.1105006845081086e-16,0.0,1.0000000000000002,1.0,2000
O15014,15,9,6,3,6,3,15,36,0.4166666666666667,0.4166666666666667,5.552503422540543e-17,0.0,1.0,1.0,2000
O15014,20,9,6,3,6,3,15,36,0.4166666666666667,0.4351805555555557,0.0314382381132768,-0.0185138888888889,0.9574569942233424,1.0,2000
O15014,25,9,6,3,6,3,15,36,0.4166666666666667,0.4430416666666667,0.0357544150242524,-0.026375,0.9404683532399134,1.0,2000
O15014,30,9,6,3,6,3,15,36,0.4166666666666667,0.4734583333333333,0.0723338357909592,-0.0567916666666666,0.8800492827598345,1.0,2000
O15014,5,9,6,3,6,3,6,36,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
O15018,10,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15018,15,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15018,20,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15018,25,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15018,30,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15018,5,3,3,1,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15027,10,17,12,13,15,2,10,136,0.0735294117647058,0.0679338235294117,0.0088590119965732,0.0055955882352941,1.0823682216690118,0.4072963518240879,2000
O15027,15,17,12,13,15,2,12,136,0.088235294117647,0.0935330882352941,0.008309208278213,-0.005297794117647,0.9433591446877088,0.8470764617691154,2000
O15027,20,17,12,13,15,2,14,136,0.1029411764705882,0.1044558823529411,0.00623017166757,-0.0015147058823529,0.9854990848937067,0.8085957021489255,2000
O15027,25,17,12,13,15,2,16,136,0.1176470588235294,0.1214816176470588,0.0048146446040639,-0.0038345588235294,0.9684350694549526,0.936031984007996,2000
O15027,30,17,12,13,15,2,16,136,0.1176470588235294,0.126735294117647,0.0047053581646081,-0.0090882352941176,0.9282896263634254,1.0,2000
O15027,5,17,12,13,15,2,4,136,0.0294117647058823,0.0383125,0.0092716615531909,-0.0089007352941176,0.7676806448517417,0.9465267366316842,2000
O15031,10,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15031,15,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15031,20,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15031,25,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15031,30,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15031,5,3,3,0,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O15047,10,15,9,9,13,2,37,105,0.3523809523809524,0.3524,0.019090439968373,-1.904761904758523e-05,0.9999459488676288,0.568215892053973,2000
O15047,15,15,9,9,13,2,58,105,0.5523809523809524,0.5170095238095237,0.0283349416348776,0.0353714285714287,1.0684154293924772,0.1499250374812593,2000
O15047,20,15,9,9,13,2,75,105,0.7142857142857143,0.679447619047619,0.0238631302961768,0.0348380952380953,1.0512741442628468,0.1149425287356321,2000
