accession,arm,observed,expected_length,expected_st,expected_disorder,n_oglcnac,n_phospho,n_st,length
O15018,all,0,0.0803099682986967,0.4214417744916821,0.5082265375790475,3,76,541,2839
O15027,all,7,1.0097581671616462,6.685393258426966,7.13047619047619,17,140,356,2357
O15027,regional,3,0.2375901569792108,1.5730337078651686,1.7777777777777777,4,140,356,2357
O15031,all,0,0.0212187159956474,0.1666666666666666,0.1748499727223131,3,13,234,1838
O15034,all,0,0.0123574144486692,0.0921985815602836,0.04,1,13,141,1052
O15040,all,0,0.0148830616583982,0.0864197530864197,0.1764705882352941,1,21,243,1411
O15042,all,1,0.0592808551992225,0.4206896551724138,0.5421686746987951,1,61,145,1029
O15047,all,4,0.4745166959578207,2.7364864864864864,2.959561128526646,15,54,296,1707
O15047,regional,4,0.4428822495606327,2.554054054054054,2.766379310344828,14,54,296,1707
O15050,all,0,0.0044444444444444,0.0456140350877193,0.0273972602739726,1,13,285,2925
O15055,all,2,0.1832669322709163,1.031390134529148,1.079825908858167,10,23,223,1255
O15061,all,0,0.0313099041533546,0.205020920502092,0.2258064516129032,1,49,239,1565
O15067,all,1,0.0298953662182361,0.291970802919708,0.3071428571428571,2,20,137,1338
O15083,all,0,0.0135841170323928,0.1074380165289256,0.075,1,13,121,957
O15084,all,0,0.0047483380816714,0.037593984962406,0.0746268656716417,1,5,133,1053
O15085,all,2,0.1300919842312746,0.8918918918918919,1.1910477619404851,3,66,222,1522
O15090,all,0,0.0061538461538461,0.0425531914893617,0.0434782608695652,1,8,188,1300
O15117,all,1,0.0357598978288633,0.247787610619469,0.2894736842105263,1,28,113,783
O15164,all,0,0.2466666666666666,1.69281045751634,2.074074074074074,7,37,153,1050
O15164,regional,0,0.2466666666666666,1.69281045751634,2.074074074074074,7,37,153,1050
O15178,all,0,0.0275862068965517,0.1621621621621621,0.0666666666666666,4,3,74,435
O15178,regional,0,0.0275862068965517,0.1621621621621621,0.0666666666666666,4,3,74,435
O15230,all,1,0.0129905277401894,0.1108545034642032,0.1094451482873056,3,16,433,3695
O15231,all,0,0.3076923076923077,1.593984962406015,1.84005376344086,4,53,133,689
O15234,all,1,0.0412517780938833,0.3222222222222222,0.3670886075949367,1,29,90,703
O15265,all,0,0.0325112107623318,0.1567567567567567,0.2428571428571428,1,29,185,892
O15294,all,2,0.0420650095602294,0.4631578947368421,0.9428571428571428,4,11,95,1046
O15297,all,0,0.0264462809917355,0.1904761904761904,0.4285714285714285,1,16,84,605
O15315,all,1,0.0026041666666666,0.015625,0.02,1,1,64,384
O15355,all,0,0.0769230769230769,0.6176470588235294,0.875,2,21,68,546
O15357,all,0,0.0254372019077901,0.1777777777777777,0.0526315789473684,1,32,180,1258
O15371,all,0,0.0273722627737226,0.2307692307692307,0.0833333333333333,1,15,65,548
O15372,all,0,0.034090909090909,0.2790697674418604,0.5833333333333334,1,12,43,352
O15409,all,0,0.0055944055944055,0.0344827586206896,0.0204081632653061,1,4,116,715
O15417,all,0,0.0808625336927223,0.5568445475638051,0.4964028776978417,3,80,431,2968
O15427,all,1,0.0086021505376344,0.0869565217391304,1.0,1,4,46,465
O15455,all,0,0.0077433628318584,0.0564516129032258,0.0515463917525773,1,7,124,904
O15457,all,0,0.0085470085470085,0.0484848484848484,0.0588235294117647,1,8,165,936
O15460,all,0,0.0336448598130841,0.3,0.0,3,6,60,535
O15460,regional,0,0.0336448598130841,0.3,0.0,3,6,60,535
O15504,all,0,0.0378250591016548,0.1758241758241758,0.1191919191919192,2,8,91,423
O15511,all,0,0.1059602649006622,0.8888888888888888,0.0,4,4,18,151
O15511,regional,0,0.1059602649006622,0.8888888888888888,0.0,4,4,18,151
O15516,all,0,0.0212765957446808,0.1058823529411764,0.0833333333333333,1,18,170,846
O15525,all,0,0.0061728395061728,0.0434782608695652,0.0,1,1,23,162
O15530,all,1,0.0503597122302158,0.4,0.5384615384615384,1,28,70,556
O15534,all,0,0.0480620155038759,0.2627118644067797,0.1935483870967742,2,31,236,1290
O15550,all,0,0.0913633119200571,0.5688888888888889,0.698358413132695,8,16,225,1401
O15550,regional,0,0.0342612419700214,0.2133333333333333,0.3837209302325581,3,16,225,1401
O43143,all,0,0.0176100628930817,0.1489361702127659,0.2,1,14,94,795
O43150,all,0,0.0178926441351888,0.1384615384615384,0.2121212121212121,1,18,130,1006
O43151,all,0,0.1225626740947075,0.859375,1.0118377550979756,10,22,256,1795
O43159,all,3,0.131578947368421,1.1111111111111112,1.7,3,20,54,456
O43166,all,3,0.4390243902439024,2.1818181818181817,2.790332906530089,6,132,363,1804
O43172,all,0,0.0057471264367816,0.0422535211267605,0.0,1,3,71,522
O43175,all,0,0.0956848030018761,0.7611940298507462,0.7297297297297297,3,17,67,533
O43189,all,0,0.0158730158730158,0.1168831168831168,0.1666666666666666,1,9,77,567
O43237,all,1,0.0528455284552845,0.3714285714285714,0.6923076923076923,1,26,70,492
O43242,all,2,0.0842696629213483,0.7894736842105263,0.5727272727272728,3,15,57,534
O43251,all,0,0.0102564102564102,0.0689655172413793,0.0,1,4,58,390
O43264,all,0,0.0115532734274711,0.0841121495327102,0.1111111111111111,1,9,107,779
O43294,all,0,0.0585683297180043,0.3698630136986301,0.2666666666666666,1,27,73,461
O43299,all,0,0.0061957868649318,0.042016806722689,0.0,1,5,119,807
O43301,all,0,0.0103703703703703,0.0769230769230769,0.0303030303030303,1,7,91,675
O43303,all,0,0.0948616600790513,0.6075949367088608,0.5183823529411764,3,32,158,1012
O43312,all,0,0.1324503311258278,0.6711409395973155,0.851063829787234,4,25,149,755
O43312,regional,0,0.0993377483443708,0.5033557046979866,0.6382978723404256,3,25,149,755
O43314,all,0,0.0321802091713596,0.2209944751381215,0.3793103448275862,1,40,181,1243
O43318,all,1,0.0825082508250825,0.4854368932038835,0.7878787878787878,2,25,103,606
O43324,all,1,0.0344827586206896,0.25,0.2307692307692307,2,3,24,174
O43347,all,0,0.0193370165745856,0.1272727272727272,0.0,1,7,55,362
O43390,all,0,0.0252764612954186,0.32,0.2631578947368421,1,16,50,633
O43395,all,4,0.2049780380673499,1.818181818181818,4.355769230769231,7,20,77,683
O43395,regional,3,0.1171303074670571,1.0389610389610389,2.75,4,20,77,683
O43399,all,6,0.9514563106796116,5.0256410256410255,5.233082706766917,7,28,39,206
O43426,all,0,0.0972663699936427,0.6023622047244095,0.6859903381642511,3,51,254,1573
O43432,all,1,0.2649842271293375,1.8502202643171808,1.7197510822510824,12,35,227,1585
O43432,regional,0,0.1324921135646687,0.9251101321585904,0.645887445887446,6,35,227,1585
O43439,all,1,0.0629139072847682,0.4130434782608695,0.4377777777777778,2,19,92,604
O43491,all,2,0.3383084577114428,2.2666666666666666,2.226923076923077,5,68,150,1005
O43493,all,3,0.3981693363844393,1.8125,1.9090909090909087,6,29,96,437
O43516,all,0,0.0914512922465208,0.5542168674698795,0.5822784810126582,2,23,83,503
O43524,all,4,0.7132243684992571,3.287671232876712,3.2388858480812504,10,48,146,673
O43525,all,0,0.0114678899082568,0.0869565217391304,0.1944444444444444,1,10,115,872
O43548,all,0,0.0083333333333333,0.0606060606060606,0.1666666666666666,2,3,99,720
O43561,all,1,0.1908396946564885,1.1904761904761905,1.125,2,25,42,262
O43567,all,0,0.0078740157480314,0.0652173913043478,0.0,1,3,46,381
O43597,all,0,0.0857142857142857,0.5192307692307693,0.4444444444444444,1,27,52,315
O43615,all,1,0.0707964601769911,0.6274509803921569,0.5,4,8,51,452
O43615,regional,1,0.0707964601769911,0.6274509803921569,0.5,4,8,51,452
O43660,all,2,0.0350194552529182,0.2222222222222222,0.7272727272727273,2,9,81,514
O43670,all,1,0.2719665271966527,2.1311475409836067,2.272727272727273,26,5,61,478
O43670,regional,1,0.2510460251046025,1.9672131147540983,2.090909090909091,24,5,61,478
O43683,all,1,0.1105990783410138,0.8955223880597015,1.165791447861965,2,60,134,1085
O43684,all,2,0.073170731707317,0.48,0.5185185185185185,2,12,50,328
O43707,all,2,0.1383095499451152,1.431818181818182,1.3676470588235294,3,42,88,911
O43709,all,0,0.0142348754448398,0.125,0.0588235294117647,1,4,32,281
O43768,all,0,0.0991735537190082,0.9230769230769232,0.875,1,12,13,121
O43791,all,0,0.0080213903743315,0.0681818181818181,0.0,1,3,44,374
O43823,all,0,0.0924855491329479,0.810126582278481,1.0851851851851853,4,16,79,692
O43823,regional,0,0.0693641618497109,0.6075949367088608,0.9,3,16,79,692
O43847,all,0,0.0139009556907037,0.1240310077519379,0.081081081081081,1,16,129,1151
O43852,all,0,0.0412698412698412,0.52,0.5555555555555556,1,13,25,315
O43909,all,0,0.0065288356909684,0.0588235294117647,0.0983606557377049,2,3,102,919
O43913,all,0,0.0045977011494252,0.0363636363636363,0.0,1,2,55,435
O60231,all,1,0.0153698366954851,0.1367521367521367,0.3,1,16,117,1041
O60232,all,0,0.0251256281407035,0.217391304347826,0.0,1,5,23,199
O60237,all,0,0.0498981670061099,0.2865497076023391,0.2394366197183098,1,49,171,982
O60240,all,1,0.0517241379310344,0.3461538461538461,0.2083333333333333,1,27,78,522
O60244,all,0,0.0233837689133425,0.17,0.0623249299719887,2,17,200,1454
O60245,all,0,0.039289055191768,0.2625,0.0936247723132969,2,21,160,1069
O60256,all,0,0.02710027100271,0.2222222222222222,0.0769230769230769,1,10,45,369
O60281,all,1,0.0084465662871832,0.0522727272727272,0.0444444444444444,1,23,440,2723
O60291,all,0,0.0344202898550724,0.2345679012345679,0.3636363636363636,1,19,81,552
O60292,all,2,0.0943290286355979,0.5562913907284768,0.5568917668825162,2,84,302,1781
O60293,all,0,0.130718954248366,0.8934707903780069,1.285887445887446,4,65,291,1989
O60294,all,0,0.0145772594752186,0.1149425287356321,0.0,1,10,87,686
O60296,all,0,0.1312910284463894,0.7228915662650602,0.495049504950495,5,24,166,914
O60299,all,0,0.0208023774145616,0.1372549019607843,0.0,1,14,102,673
O60313,all,0,0.021875,0.1794871794871795,0.2142857142857142,1,21,117,960
O60318,all,0,0.1969696969696969,1.2745098039215683,1.0952941976119808,15,26,306,1980
O60318,regional,0,0.0393939393939393,0.2549019607843137,0.1782178217821782,3,26,306,1980
O60333,all,1,0.0693832599118942,0.4329896907216495,0.3475,3,42,291,1816
O60341,all,1,0.0293427230046948,0.2577319587628865,0.6086956521739131,1,25,97,852
O60346,all,0,0.0489225393127548,0.3700440528634361,0.069047619047619,3,28,227,1717
O60347,all,0,0.0090322580645161,0.0777777777777777,0.0,1,7,90,775
O60381,all,1,0.0252918287937743,0.1477272727272727,0.24,1,13,88,514
O60437,all,0,0.0176537585421412,0.2012987012987013,0.202020202020202,1,31,154,1756
O60477,all,0,0.0026281208935611,0.0185185185185185,0.0,2,1,108,761
O60488,all,1,0.0759493670886076,0.6666666666666666,0.75,3,18,81,711
O60488,regional,1,0.0759493670886076,0.6666666666666666,0.75,3,18,81,711
O60502,all,0,0.0360262008733624,0.2920353982300885,0.125,3,11,113,916
O60504,all,0,0.0506706408345752,0.3505154639175257,0.5,1,34,97,671
O60563,all,0,0.0261707988980716,0.1328671328671328,0.1794871794871795,1,19,143,726
O60566,all,0,0.0723809523809523,0.5390070921985816,0.5647840531561461,2,38,141,1050
O60568,all,0,0.021680216802168,0.2191780821917808,0.2051282051282051,2,8,73,738
O60610,all,1,0.0723270440251572,0.6865671641791045,0.7777777777777778,4,23,134,1272
O60610,regional,0,0.0542452830188679,0.5149253731343284,0.5833333333333334,3,23,134,1272
O60637,all,1,0.0237154150197628,0.2307692307692307,0.2083333333333333,1,6,26,253
O60641,all,0,0.0363836824696802,0.1885714285714285,0.1279652522552622,3,11,175,907
O60662,all,0,0.0016501650165016,0.0166666666666666,0.0238095238095238,1,1,60,606
O60664,all,1,0.7857142857142857,4.671232876712328,4.519762845849803,11,31,73,434
O60664,regional,0,0.4285714285714285,2.547945205479452,2.792490118577075,6,31,73,434
O60669,all,1,0.0167364016736401,0.1212121212121212,0.2,1,8,66,478
O60673,all,0,0.0281150159744408,0.1676190476190476,0.224781648910644,2,44,525,3130
O60675,all,2,0.2564102564102564,1.4285714285714286,1.6842105263157894,10,4,28,156
O60675,regional,2,0.2564102564102564,1.4285714285714286,1.6842105263157894,10,4,28,156
O60701,all,0,0.0263157894736842,0.2241379310344827,0.1904761904761904,1,13,58,494
O60706,all,0,0.0077469335054874,0.055813953488372,0.0617283950617283,2,6,215,1549
O60825,all,1,0.0554455445544554,0.4827586206896552,0.571078431372549,2,14,58,505
O60828,all,0,0.0528301886792452,0.4375,0.3809523809523809,2,7,32,265
O60841,all,4,0.1540983606557377,1.5666666666666669,2.2288372093023257,4,47,120,1220
O60841,regional,3,0.1155737704918032,1.175,1.5544186046511628,3,47,120,1220
O60880,all,0,0.0703125,0.45,0.1666666666666666,1,9,20,128
O60885,all,2,0.3054331864904552,2.4615384615384617,2.4271099744245523,8,52,169,1362
O60885,regional,2,0.1527165932452276,1.2307692307692308,1.3043478260869563,4,52,169,1362
O60907,all,2,0.0415944540727903,0.24,0.48,2,12,100,577
O60927,all,0,0.0873015873015873,0.44,0.4090909090909091,1,11,25,126
O60934,all,0,0.0490716180371352,0.3109243697478991,0.25,1,37,119,754
O60938,all,0,0.0113636363636363,0.1081081081081081,0.2142857142857142,1,4,37,352
O60941,all,0,0.0382775119617224,0.2926829268292683,0.1034482758620689,1,24,82,627
O75027,all,0,0.0172872340425531,0.1368421052631579,0.1612903225806451,1,13,95,752
O75030,all,0,0.1444866920152091,0.9047619047619048,1.0576923076923077,4,19,84,526
O75030,regional,0,0.1083650190114068,0.6785714285714286,0.75,3,19,84,526
O75038,all,1,0.0112994350282485,0.0784313725490196,0.0769230769230769,1,16,204,1416
O75044,all,3,0.2707749766573296,1.7469879518072289,2.312787546480116,5,58,166,1071
O75094,all,0,0.0118187787261982,0.09375,0.1176470588235294,2,9,192,1523
O75113,all,2,0.1841517857142857,1.32,2.1875,5,33,125,896
O75116,all,3,0.1512968299711815,1.4685314685314683,1.5113937466878644,6,35,143,1388
O75116,regional,2,0.0756484149855907,0.7342657342657343,0.6862745098039216,3,35,143,1388
O75122,all,0,0.0772797527047913,0.4132231404958678,0.5540540540540541,1,100,242,1294
O75131,all,0,0.0242085661080074,0.2,0.2424242424242424,1,13,65,537
O75132,all,1,0.0683176771989752,0.3883495145631068,0.4789081885856079,2,40,206,1171
O75140,all,0,0.0143480973175296,0.0901960784313725,0.1428571428571428,1,23,255,1603
O75143,all,0,0.0251450676982591,0.1428571428571428,0.1,1,13,91,517
O75145,all,0,0.02428810720268,0.18125,0.25,1,29,160,1194
O75147,all,0,0.0063291139240506,0.058252427184466,0.0,1,12,206,1896
O75152,all,2,0.4925925925925926,2.809859154929577,2.772133526850508,7,57,142,810
O75155,all,0,0.0161812297734627,0.1428571428571428,0.1,1,20,140,1236
O75157,all,0,0.1282051282051282,0.684931506849315,0.3476842791911285,10,10,146,780
O75157,regional,0,0.0641025641025641,0.3424657534246575,0.0684931506849315,5,10,146,780
O75165,all,0,0.0089166295140436,0.0778210116731517,0.0849056603773584,1,20,257,2243
O75170,all,0,0.181159420289855,1.3257575757575757,1.0265734265734268,7,25,132,966
O75170,regional,0,0.077639751552795,0.5681818181818182,0.4545454545454545,3,25,132,966
O75175,all,0,0.0199203187250996,0.119047619047619,0.1666666666666666,1,15,126,753
O75179,all,10,1.7157126392623896,9.751091703056767,10.160734798621366,58,77,458,2603
O75179,regional,4,1.0945063388398002,6.220524017467249,6.165874497117499,37,77,458,2603
O75306,all,0,0.0043196544276457,0.054054054054054,0.0,1,2,37,463
O75335,all,0,0.0278481012658227,0.2,0.2289793759915388,3,11,165,1185
O75346,all,0,0.0360721442885771,0.2465753424657534,0.0,2,9,73,499
O75362,all,3,0.1956106870229007,1.2349397590361446,1.541551705109811,5,41,166,1048
O75363,all,0,0.0308219178082191,0.1818181818181818,0.0909090909090909,1,18,99,584
O75367,all,1,0.040650406504065,0.3061224489795918,0.7142857142857143,1,15,49,369
O75369,all,3,0.2167563412759416,1.630057803468208,1.6457142857142857,4,141,346,2602
O75376,all,15,4.149590163934426,24.049881235154395,24.066284161256227,75,135,421,2440
O75376,regional,8,1.8258196721311477,10.581947743467934,10.857768382908048,33,135,421,2440
O75385,all,1,0.12,0.7411764705882353,1.1076923076923078,2,63,170,1050
O75391,all,0,0.0881057268722467,0.9090909090909092,0.5,2,10,22,227
O75396,all,1,0.0790697674418604,0.7083333333333334,0.8333333333333334,1,17,24,215
O75400,all,0,0.0961337513061651,0.5786163522012578,0.3478260869565217,2,46,159,957
O75417,all,1,0.0301158301158301,0.2010309278350515,0.2112676056338028,2,39,388,2590
O75420,all,0,0.0637681159420289,0.5641025641025641,0.6824378508420208,2,33,117,1035
O75439,all,0,0.0286298568507157,0.2121212121212121,0.2857142857142857,2,7,66,489
O75475,all,0,0.0867924528301886,0.6666666666666666,0.3333333333333333,1,46,69,530
O75494,all,0,0.2442748091603053,1.0847457627118644,0.8372093023255814,2,32,59,262
O75496,all,1,0.0813397129186602,0.53125,0.3333333333333333,1,17,32,209
O75506,all,2,0.1052631578947368,0.6153846153846154,1.5,2,4,13,76
O75533,all,1,0.0498466257668711,0.4609929078014184,0.8846153846153846,1,65,141,1304
O75534,all,0,0.0275689223057644,0.25,0.3548387096774194,1,22,88,798
O75554,all,0,0.0452127659574468,0.2741935483870967,0.2142857142857142,1,17,62,376
O75592,all,0,0.0487387772552372,0.3206751054852321,0.1538461538461538,2,114,711,4678
O75626,all,0,0.0315151515151515,0.2148760330578512,0.1467741935483871,2,13,121,825
O75628,all,2,0.0536912751677852,0.3333333333333333,0.4705882352941176,2,8,48,298
O75629,all,0,0.0136363636363636,0.0909090909090909,0.0666666666666666,1,3,33,220
O75643,all,2,0.196629213483146,1.7796610169491525,2.8360714448305684,10,42,236,2136
O75694,all,2,0.0575125808770668,0.4469273743016759,1.342857142857143,4,20,179,1391
O75717,all,2,0.3454384410983171,2.3076923076923075,3.418445878848064,10,39,169,1129
O75717,regional,1,0.2072630646589902,1.3846153846153846,2.25,6,39,169,1129
O75746,all,0,0.0088495575221238,0.081081081081081,0.1176470588235294,1,6,74,678
O75747,all,0,0.0047106325706594,0.034313725490196,0.032258064516129,1,7,204,1486
O75821,all,3,0.296875,2.021276595744681,2.967611336032389,5,19,47,320
O75882,all,0,0.0223932820153953,0.1608040201005025,0.1095890410958904,4,8,199,1429
O75886,all,2,0.0304761904761904,0.2077922077922078,0.3157894736842105,2,8,77,525
O75909,all,1,0.0413793103448275,0.4067796610169492,0.5,4,6,59,580
